,0,1,cluster
209,-15.01719,-24.5933,48
210,-19.008837,5.349707,45
211,7.8737936,0.405775,4
212,12.182014,34.57161,32
213,54.738945,-1.2942986,9
214,-4.6429276,-42.6763,1
215,-6.665333,-57.277668,1
216,-46.3529,9.556137,13
217,22.683014,8.151121,12
218,47.7137,26.962969,16
219,-25.170218,-15.143754,8
220,-27.399271,-6.2755413,41
221,28.420994,22.916212,20
222,6.0976844,-40.8515,1
223,-13.635139,-38.45311,1
224,-27.347021,4.486401,7
225,47.657085,41.241604,11
226,17.381016,51.62294,19
227,-53.03991,-31.195808,2
228,-53.45936,33.001747,3
229,-49.40379,-11.29234,2
230,44.54992,10.645617,9
231,64.547264,-2.8297484,14
232,4.5538735,44.046555,40
233,25.445093,10.1635,12
234,-12.053169,-2.096316,8
235,45.37383,-6.540735,5
236,-38.688957,19.992306,3
237,-31.24235,11.437039,7
238,33.007412,-35.15308,6
239,-7.554277,14.638263,4
240,39.32972,8.8531275,9
241,-43.311653,52.225105,34
242,4.0551434,59.53287,10
243,22.566185,-62.21893,1
244,-28.962606,45.18727,31
245,-48.860573,-27.822914,2
246,47.65612,20.797773,54
247,-22.560976,-22.06074,8
248,-35.470848,-4.9083776,39
249,15.766087,9.542971,12
250,41.48541,-12.749062,5
251,46.3195,-26.275177,5
252,-58.82501,21.490534,3
253,-42.53585,46.173496,15
254,35.28703,-22.121395,44
255,-24.60817,-50.67678,26
256,-8.485553,31.217201,10
257,-32.369385,27.088177,66
258,37.191105,37.736633,11
259,55.947636,-9.730237,5
260,-46.2502,0.7313141,35
261,-46.48042,-37.19927,46
262,36.220165,20.10373,9
263,-2.6101544,8.839152,4
264,19.196241,-2.5315285,18
265,67.39695,-9.877455,14
266,-13.840067,19.864622,37
267,-22.118896,52.30422,28
268,50.77678,7.670823,9
269,-46.155174,33.801655,3
270,19.957033,18.396187,12
271,-24.896315,51.898693,28
272,8.033711,-29.272783,6
273,-3.2473354,53.768276,10
274,-34.434288,-14.919711,2
275,-2.8073795,41.577843,10
276,-15.922497,34.628002,10
277,-31.272776,18.036163,3
278,-42.039623,-15.483618,2
279,1.8213527,13.450208,4
280,31.385807,51.00182,11
281,-59.392643,-29.264034,57
282,34.284958,-15.392305,22
283,-31.617289,38.85529,49
284,71.15496,3.9492364,14
285,6.9686813,-21.255156,24
286,-49.492287,-24.675903,2
287,33.28345,24.255821,56
288,1.2225814,4.299651,4
289,35.05236,-50.39755,6
290,-47.726673,19.534405,3
291,-23.6662,42.969646,31
292,-56.9407,26.346586,3
293,-48.755505,44.68483,15
294,0.99083227,25.283276,4
295,29.525543,-6.263374,18
296,50.59274,15.051291,9
297,65.96855,1.1941211,14
298,1.2281392,-28.200596,1
299,-29.880589,-27.69468,2
300,-32.860653,-41.112026,2
301,24.736422,-35.63051,6
302,59.62907,-27.651419,5
303,12.367803,-62.318573,1
304,-24.91894,18.667818,64
305,28.863443,-34.039745,6
306,32.54699,4.047904,12
307,40.771713,15.615655,9
308,-1.1922064,-9.801128,4
309,38.41871,-31.76149,6
310,-6.5977764,-32.46313,1
311,6.7382264,-65.37805,1
312,0.7258622,-48.008522,1
313,-0.5867446,-34.549572,38
314,28.78254,14.6873865,12
315,-42.387413,30.30201,3
316,55.998928,1.0319676,9
317,19.924582,27.141876,20
318,-5.674654,-50.05057,1
319,-51.056126,-40.964935,2
320,46.982464,-14.550677,5
321,-7.8785524,24.524513,4
322,-1.129141,-50.50784,33
323,-51.992752,-2.2235928,13
324,34.191074,40.474266,11
325,30.325592,-26.842352,6
326,21.912247,2.0811098,65
327,4.621318,22.508345,4
328,-0.41900775,-41.28339,38
329,38.56655,43.708935,11
330,-18.258104,-33.803,17
331,44.070415,-31.66476,21
332,8.46092,25.017286,58
333,-15.31347,-27.871355,17
334,14.698513,3.0240555,12
335,-20.400288,0.32902718,8
336,55.35882,-20.394642,5
337,19.1474,-34.33424,6
338,-36.631527,8.937748,7
339,12.708338,-15.5267105,43
340,-9.408927,17.297268,37
341,-26.666578,25.08659,3
342,-34.44369,-49.369347,2
343,18.014692,-7.728962,18
344,68.79509,28.292767,16
345,32.02197,64.33364,36
346,26.841063,46.66862,36
347,-7.793049,-42.153652,1
348,-64.96304,22.673326,3
349,-47.267242,51.031105,34
350,-26.201464,9.629211,7
351,-55.15864,-6.3645415,13
352,47.466824,-34.191593,21
353,-22.373562,-28.119415,17
354,21.243011,-39.786953,6
355,36.501125,-3.4177296,5
356,12.382185,-28.011562,6
357,-2.480557,46.39768,69
358,-36.030777,-40.475914,2
359,41.48522,11.304877,9
360,-52.88728,11.076479,13
361,-7.9455347,-18.419918,1
362,-21.280588,13.759762,7
363,29.728765,-1.8249538,12
364,-18.931164,-18.034277,8
365,-16.669348,-42.644543,1
366,-44.013615,6.934846,7
367,20.107079,36.39619,25
368,-21.043276,-10.610418,8
369,49.983624,-10.430966,5
370,42.25139,38.513096,11
371,60.862785,-15.123456,5
372,66.87695,-6.2806582,14
373,-1.7697248,-27.869455,1
374,15.694502,-34.213467,6
375,-3.507171,26.703114,61
376,9.207729,-11.387132,59
377,-43.649452,-12.523932,2
378,6.9728584,39.69227,40
379,-22.249653,49.422142,28
380,-37.791496,45.60463,49
381,4.1842146,-15.83493,24
382,60.65551,-6.591327,70
383,3.540283,-34.320168,38
384,-14.676655,26.059038,37
385,-37.79137,16.961838,3
386,5.0172806,-60.09914,1
387,54.07376,-14.934914,5
388,-40.683327,-41.573765,2
389,-51.210155,46.0695,15
390,38.174576,-25.25912,44
391,-5.6829844,9.117348,4
392,-30.441824,-42.827663,2
393,-5.0044374,33.01938,10
394,32.9304,46.298794,11
395,71.008965,-2.7533913,14
396,-34.07782,22.69769,3
397,33.54165,-40.41708,6
398,17.167652,-48.68449,1
399,42.743294,-49.218285,6
400,-32.68967,-20.252577,2
401,17.334011,-23.41921,6
402,30.425234,-14.223232,22
403,50.386517,32.215847,16
404,39.878677,-22.846771,5
405,9.515928,35.62992,32
406,5.411295,48.40499,10
407,-57.030064,-25.43996,57
408,43.70431,41.26947,11
409,-10.274833,-32.12723,1
410,1.1589727,-2.8587523,4
411,-64.5965,27.226057,3
412,44.51746,-15.246149,5
413,-53.8477,-16.5588,2
414,-42.774036,-36.075836,46
415,17.406422,4.94678,63
416,29.213089,12.386955,12
417,67.3502,-12.575517,52
418,-3.1332176,-1.0441931,4
419,-33.12286,3.9996934,7
420,-70.720406,21.406773,3
421,23.062965,-32.100517,6
422,-22.86422,-5.0419583,41
423,-47.02341,-7.57436,13
424,-34.091034,-38.34311,2
425,56.09267,6.4449053,9
426,-56.338406,3.91097,13
427,-34.91553,50.925854,23
428,-4.8240514,-37.731205,1
429,-59.122105,-22.011295,67
430,-45.648514,16.18927,50
431,-8.55153,40.23045,10
432,-13.197903,-21.280722,60
433,-29.879581,49.988136,68
434,-0.7875092,49.74696,10
435,-37.02568,4.77384,7
436,-54.088165,19.085794,3
437,-41.288177,17.188906,50
438,49.768867,-3.431187,47
439,15.35918,-63.064133,1
440,-13.609951,-13.117741,8
441,30.376162,8.122684,12
442,-36.17084,-1.790718,7
443,-11.793599,-40.82099,1
444,-10.77664,28.546495,10
445,-50.70446,-33.68145,2
446,44.75508,2.2559137,5
447,-26.995909,1.0379437,7
448,37.95245,-28.53522,21
449,16.17525,22.151169,58
450,19.561565,48.315666,19
451,-29.257961,15.70099,7
452,7.3849974,-2.1683393,4
453,-28.132912,55.32075,68
454,-42.869083,54.872814,34
455,41.85891,-7.6564016,5
456,26.044592,62.434006,27
457,-30.527353,0.19875643,7
